# Words 251-500 = blocks 6-10 (continue AFTER locked first 250)
globalIndex,block,wordInBlock,romaji,jp,english,mnemonic
316,7,16,donna,どんな,what kind of,DON-N-A — WHAT KIND OF. → donna.
317,7,17,konna,こんな,like this / this kind of,KON-N-A — LIKE THIS. → konna.
318,7,18,sonna,そんな,like that / that kind of,SON-NA — SUCH a thing. → sonna.
319,7,19,anna,あんな,like that over there,AN-N-A — LIKE THAT OVER THERE. → anna.
320,7,20,docchi,どっち,which / which way (casual),DO-CCHI — WHICH. → docchi.
321,7,21,kochira,こちら,this way / this person (polite),KO-CHI-RA — THIS WAY. → kochira.
322,7,22,sochira,そちら,that way / you (polite),SO-CHI-RA — THAT WAY. → sochira.
323,7,23,achira,あちら,over there (polite),A-CHI-RA — OVER THERE (POLITE). → achira.
324,7,24,doko ka,どこか,somewhere,DO-KO KA — SOMEWHERE. → doko ka.
325,7,25,doko demo,どこでも,anywhere,DO-KO DE-MO — ANYWHERE. → doko demo.
326,7,26,dare demo,誰でも,anyone,DARE-DEMO — ANYONE. → daredemo.
327,7,27,nan demo,何でも,anything,NAN-DEMO — ANYTHING. → nandemo.
328,7,28,zenzen,全然,not at all / totally,ZEN-ZEN — NOT AT ALL. → zenzen.
329,7,29,zettai,絶対,definitely / absolutely,ZE-TTAI — DEFINITELY. → zettai.
330,7,30,yappari,やっぱり,as expected / after all,YA-PPA-RI — AS EXPECTED. → yappari.
331,7,31,yahari,やはり,as expected / after all,YA-HA-RI — AS EXPECTED. → yahari.
332,7,32,naruhodo,なるほど,I see / makes sense,N-A-RU-HO-DO — I SEE. → naruhodo.
333,7,33,tashika,確か,if I remember right / certain,TA-SHI-KA — IF I REMEMBER RIGHT. → tashika.
334,7,34,tashikani,確かに,indeed / true,TA-SHI-KAN-I — INDEED. → tashikani.
335,7,35,kanarazu,必ず,definitely / without fail,KAN-A-RA-ZU — DEFINITELY. → kanarazu.
336,7,36,kitto,きっと,surely / probably,KI-TTO — SURELY. → kitto.
337,7,37,moshikashite,もしかして,maybe / could it be,MO-SHI-KA-SHI-TE — MAYBE. → moshikashite.
338,7,38,daitai,だいたい,roughly / generally,DAI-TAI — ROUGHLY. → daitai.
339,7,39,hotondo,ほとんど,almost / mostly,HO-TON-DO — ALMOST. → hotondo.
340,7,40,yoku,よく,often / well,YO-KU — OFTEN. → yoku.
341,7,41,tama ni,たまに,occasionally,TA-MA N-I — OCCASIONALLY. → tama ni.
342,7,42,amari,あまり,not much / not very,A-MA-RI — NOT MUCH. → amari.
343,7,43,zenbu,全部,all / everything,ZEN BU — EVERYTHING. → zenbu.
344,7,44,hanbun,半分,half,HAN-BUN — HALF. → hanbun.
345,7,45,hoka,他,other / another,HOOK A different OTHER one. → hoka.
346,7,46,betsu,別,different / separate,BE-TSU — DIFFERENT. → betsu.
347,7,47,onaji,同じ,same,O-NA-JI — the SAME. → onaji.
348,7,48,chigau,違う,different / wrong,CHI-GA-U — DIFFERENT. → chigau.
349,7,49,issho,一緒,together / same,I-SSHO — TOGETHER. → issho.
350,7,50,hitori,一人,one person / alone,HI-TO-RI — ALONE. → hitori.
351,8,1,futari,二人,two people,FU-TA-RI — TWO PEOPLE. → futari.
352,8,2,ooku,多く,many / much,OO-KU — MANY. → ooku.
353,8,3,sukunai,少ない,few / not much,SU-KUN-AI — FEW. → sukunai.
354,8,4,juubun,十分,enough,JU-BUN — ENOUGH bread. → juubun.
355,8,5,hotondo nai,ほとんどない,hardly any,HO-TON-DO N-AI — HARDLY ANY. → hotondo nai.
356,8,6,choudo,ちょうど,exactly / just right,CHOU-DO — EXACTLY. → choudo.
357,8,7,oyoso,およそ,approximately / roughly,O-YO-SO — APPROXIMATELY. → oyoso.
358,8,8,gurai,ぐらい,about / approximately,GU-RAI — ABOUT. → gurai.
359,8,9,kurai,くらい,about / approximately,KU-RAI — ABOUT. → kurai.
360,8,10,hodo,ほど,about / extent,HO-DO — ABOUT. → hodo.
361,8,11,sugu,すぐ,right away / soon,SUGU — SOON / right away → sugu.
362,8,12,sakki,さっき,just before / a moment ago,SA-KKI — JUST BEFORE. → sakki.
363,8,13,ato de,後で,later,A-TO-DE — LATER. → atode.
364,8,14,mae ni,前に,before,MAE-NI — long AGO. → maeni.
365,8,15,saikin,最近,recently / lately,SAI-KIN — RECENTLY. → saikin.
366,8,16,mukashi,昔,long ago / old days,MU-KA-SHI — LONG AGO. → mukashi.
367,8,17,kondo,今度,next time / this time,KON-DO — NEXT TIME. → kondo.
368,8,18,konshuu,今週,this week,KON-SHUU — THIS WEEK. → konshuu.
369,8,19,raishuu,来週,next week,RAI-SHUU — NEXT WEEK. → raishuu.
370,8,20,senshuu,先週,last week,SEN-SHUU — LAST WEEK. → senshuu.
371,8,21,kongetsu,今月,this month,KON-GE-TSU — THIS MONTH. → kongetsu.
372,8,22,raigetsu,来月,next month,RAI-GE-TSU — NEXT MONTH. → raigetsu.
373,8,23,sengetsu,先月,last month,SEN-GE-TSU — LAST MONTH. → sengetsu.
374,8,24,kotoshi,今年,this year,KO-TO-SHI — THIS YEAR. → kotoshi.
375,8,25,rainen,来年,next year,RAIN-EN — NEXT YEAR. → rainen.
376,8,26,kyonen,去年,last year,KYON-EN — LAST YEAR. → kyonen.
377,8,27,heijitsu,平日,weekday,HEI-JI-TSU — WEEKDAY. → heijitsu.
378,8,28,shuumatsu,週末,weekend,SHUU-MA-TSU — WEEKEND. → shuumatsu.
379,8,29,jikan,時間,time / hours,JI-KAN — an HOUR. → jikan.
380,8,30,fun,分,minute,One FUN MINUTE on the clock. → fun.
381,8,31,byou,秒,second,BYOU — a SECOND. → byou.
382,8,32,ji,時,o'clock,JI — O'CLOCK. → ji.
383,8,33,han,半,half past / half,HAN — HALF PAST. → han.
384,8,34,ima kara,今から,from now / now,I-MA KA-RA — FROM NOW. → ima kara.
385,8,35,mou sugu,もうすぐ,very soon,MOU SU-GU — VERY SOON. → mou sugu.
386,8,36,itsuka,いつか,someday / sometime,I-TSU-KA — SOMEDAY. → itsuka.
387,8,37,shibaraku,しばらく,for a while,SHI-BA-RA-KU — FOR A WHILE. → shibaraku.
388,8,38,zutto,ずっと,all along / much more,ZU-TTO — ALL ALONG. → zutto.
389,8,39,mae,前,front / before,MAE — BEFORE / in front. → mae.
390,8,40,ushiro,後ろ,behind / back,U-SHI-RO — BEHIND. → ushiro.
391,8,41,naka,中,inside,NA-KA — INSIDE. → naka.
392,8,42,soto,外,outside,SO-TO — OUTSIDE. → soto.
393,8,43,ue,上,above / on top,UE — ABOVE. → ue.
394,8,44,shita,下,below / under,SHI-TA — UNDER. → shita.
395,8,45,yoko,横,beside / side,YO-KO — BESIDE. → yoko.
396,8,46,tonari,隣,next to / neighbouring,TON-A-RI — NEXT TO. → tonari.
397,8,47,chikaku,近く,nearby,CHI-KA-KU — NEARBY. → chikaku.
398,8,48,tooi,遠い,far,TO-O-I — FAR. → tooi.
399,8,49,chikai,近い,near / close,CHI-KAI — NEAR. → chikai.
400,8,50,migi,右,right,MI-GI — RIGHT. → migi.
401,9,1,hidari,左,left,HI-DA-RI — LEFT. → hidari.
402,9,2,massugu,まっすぐ,straight ahead,MA-SSU-GU — STRAIGHT AHEAD. → massugu.
403,9,3,mukou,向こう,over there / other side,MU-KOU — OVER THERE. → mukou.
404,9,4,hou,方,direction / side / one,HOU — DIRECTION. → hou.
405,9,5,michi,道,road / way,MI-CHI — ROAD. → michi.
406,9,6,kado,角,corner,KA-DO — CORNER. → kado.
407,9,7,iriguchi,入口,entrance,I-RI-GU-CHI — ENTRANCE. → iriguchi.
408,9,8,deguchi,出口,exit,DE-GU-CHI — EXIT. → deguchi.
409,9,9,kaidan,階段,stairs,KAI-DAN — STAIRS. → kaidan.
410,9,10,erebeetaa,エレベーター,elevator,E-RE-BEE-TAA — ELEVATOR. → erebeetaa.
411,9,11,heya,部屋,room,"HEY, YA in the ROOM. → heya."
412,9,12,daidokoro,台所,kitchen,DAI-DO-KO-RO — KITCHEN. → daidokoro.
413,9,13,ofuro,お風呂,bath,O-FU-RO — BATH. → ofuro.
414,9,14,shawaa,シャワー,shower,SHA-WAA — SHOWER. → shawaa.
415,9,15,toire,トイレ,toilet,TOI-RE sounds close to TOILET. → toire.
416,9,16,mado,窓,window,MA-DO — WINDOW. → mado.
417,9,17,kagi,鍵,key,KA-GI — KEY. → kagi.
418,9,18,tsukue,机,desk,TSU-KUE — DESK. → tsukue.
419,9,19,isu,椅子,chair,I-SU — CHAIR. → isu.
420,9,20,beddo,ベッド,bed,BED — same word. → beddo.
421,9,21,terebi,テレビ,TV,TE-RE-BI — TV. → terebi.
422,9,22,keitai,携帯,mobile phone,KEI-TAI — MOBILE PHONE. → keitai.
423,9,23,sumaho,スマホ,smartphone,SU-MA-HO — SMARTPHONE. → sumaho.
424,9,24,pasokon,パソコン,computer,PA-SO-KON — COMPUTER. → pasokon.
425,9,25,internetto,インターネット,internet,IN-TE-rN-E-TTO — INTERNET. → internetto.
426,9,26,meeru,メール,email / message,MEE-RU — EMAIL. → meeru.
427,9,27,messeeji,メッセージ,message,ME-SSEE-JI — MESSAGE. → messeeji.
428,9,28,shashin,写真,photo,SHA-SHIN — PICTURE. → shashin.
429,9,29,douga,動画,video,DOU-GA — VIDEO. → douga.
430,9,30,ongaku,音楽,music,ON-GA-KU — MUSIC. → ongaku.
431,9,31,uta,歌,song,U-TA — SONG. → uta.
432,9,32,eiga,映画,movie,EI-GA — MOVIE. → eiga.
433,9,33,terebi bangumi,テレビ番組,TV show,TE-RE-BI BAN-GU-MI — TV SHOW. → terebi bangumi.
434,9,34,geemu,ゲーム,game,GAME — same word. → geemu.
435,9,35,manga,漫画,manga / comic,MAN-GA — MANGA. → manga.
436,9,36,zasshi,雑誌,magazine,ZA-SSHI — MAGAZINE. → zasshi.
437,9,37,shinbun,新聞,newspaper,SHIN-BUN — NEWSPAPER. → shinbun.
438,9,38,pen,ペン,pen,PEN — PEN. → pen.
439,9,39,kami,紙,paper,CAMI sees GOD in the shrine. → kami.
440,9,40,kaban,鞄,bag,KA-BAN — BAG. → kaban.
441,9,41,saifu,財布,wallet,SAI-FU — WALLET. → saifu.
442,9,42,megane,眼鏡,glasses,ME-GAN-E — GLASSES. → megane.
443,9,43,tokei,時計,clock / watch,TO-KEI — CLOCK. → tokei.
444,9,44,fuku,服,clothes,FU-KU — CLOTHES. → fuku.
445,9,45,kutsu,靴,shoes,KU-TSU — SHOES. → kutsu.
446,9,46,shatsu,シャツ,shirt,SHA-TSU — SHIRT. → shatsu.
447,9,47,zubon,ズボン,trousers / pants,ZU-BON — TROUSERS. → zubon.
448,9,48,uwagi,上着,jacket / outerwear,U-WA-GI — JACKET. → uwagi.
449,9,49,boushi,帽子,hat,BOU-SHI — HAT. → boushi.
450,9,50,kasa,傘,umbrella,KA-SA — UMBRELLA. → kasa.
451,10,1,kaisha,会社,company / workplace,KAISHA — COMPANY → kaisha.
452,10,2,shigoto,仕事,work / job,SHE GOes TO WORK. → shigoto.
453,10,3,kyoushitsu,教室,classroom,KYOU-SHI-TSU — CLASSROOM. → kyoushitsu.
454,10,4,daigaku,大学,university,DAI-GA-KU — UNIVERSITY. → daigaku.
455,10,5,byouin,病院,hospital,BYOUIN — HOSPITAL. → byouin.
456,10,6,konbini,コンビニ,convenience store,KON-BIN-I — CONVENIENCE STORE. → konbini.
457,10,7,suupaa,スーパー,supermarket,SUU-PAA — SUPERMARKET. → suupaa.
458,10,8,resutoran,レストラン,restaurant,RE-SU-TO-RAN — RESTAURANT. → resutoran.
459,10,9,kissa,喫茶店,cafe / coffee shop,KI-SSA — CAFE. → kissa.
460,10,10,hotera,ホテル,hotel,HOTERA — HOTEL. → hotera.
461,10,11,kuukou,空港,airport,KUU-KOU — AIRPORT. → kuukou.
462,10,12,basu,バス,bus,BA-SU — BUS. → basu.
463,10,13,takushii,タクシー,taxi,TA-KU-SHII — TAXI. → takushii.
464,10,14,jitensha,自転車,bicycle,JI-TEN-SHA — BICYCLE. → jitensha.
465,10,15,hikouki,飛行機,airplane,HI-KOU-KI — AIRPLANE. → hikouki.
466,10,16,chikatetsu,地下鉄,subway,CHI-KA-TE-TSU — SUBWAY. → chikatetsu.
467,10,17,noriba,乗り場,boarding place / stop,N-O-RI-BA — BOARDING PLACE. → noriba.
468,10,18,kippu,切符,ticket,KI-PPU — TICKET. → kippu.
469,10,19,ryoukin,料金,fee / fare,RYOU-KIN — FEE. → ryoukin.
470,10,20,okane,お金,money,"OKAY, NE? Need MONEY. → okane."
471,10,21,genkin,現金,cash,GEN-KIN — CASH. → genkin.
472,10,22,kaado,カード,card,KAA-DO — CARD. → kaado.
473,10,23,kurejitto kaado,クレジットカード,credit card,KU-RE-JI-TTO KAA-DO — CREDIT CARD. → kurejitto kaado.
474,10,24,ryoushuusho,領収書,receipt,RYOU-SHUU-SHO — RECEIPT. → ryoushuusho.
475,10,25,nedan,値段,price,N-E-DAN — PRICE. → nedan.
476,10,26,waribiki,割引,discount,WA-RI-BI-KI — DISCOUNT. → waribiki.
477,10,27,goukei,合計,total / sum,GOU-KEI — TOTAL. → goukei.
478,10,28,otsuri,お釣り,change (money),O-TSU-RI — CHANGE (MONEY). → otsuri.
479,10,29,tada,ただ,free / just,TA-DA — FREE. → tada.
480,10,30,muryou,無料,free of charge,MU-RYOU — FREE OF CHARGE. → muryou.
481,10,31,ryouri,料理,cooking / cuisine,RYOU-RI — COOKING. → ryouri.
482,10,32,tabemono,食べ物,food,TA-BE-MON-O — FOOD. → tabemono.
483,10,33,nomimono,飲み物,drink / beverage,N-O-MI-MON-O — DRINK. → nomimono.
484,10,34,asa gohan,朝ご飯,breakfast,A-SA GO-HAN — BREAKFAST. → asa gohan.
485,10,35,hiru gohan,昼ご飯,lunch,HI-RU GO-HAN — LUNCH. → hiru gohan.
486,10,36,ban gohan,晩ご飯,dinner,BAN GO-HAN — DINNER. → ban gohan.
487,10,37,pan,パン,bread,PAN — BREAD. → pan.
488,10,38,tamago,卵,egg,TA-MA-GO — EGG. → tamago.
489,10,39,tori niku,鶏肉,chicken,TO-RI N-I-KU — CHICKEN. → tori niku.
490,10,40,buta niku,豚肉,pork,BU-TA N-I-KU — PORK. → buta niku.
491,10,41,gyuu niku,牛肉,beef,GYUU N-I-KU — BEEF. → gyuu niku.
492,10,42,shio,塩,salt,SHIO — SALT. → shio.
493,10,43,satou,砂糖,sugar,SA-TOU — SUGAR. → satou.
494,10,44,abura,油,oil,A-BU-RA — OIL. → abura.
495,10,45,gyuunyuu,牛乳,milk,GYUUN-YUU — MILK. → gyuunyuu.
496,10,46,biiru,ビール,beer,BII-RU — BEER. → biiru.
497,10,47,osake,お酒,alcohol / sake,O-SA-KE — ALCOHOL. → osake.
498,10,48,oishii,美味しい,delicious,OI-SHII — DELICIOUS. → oishii.
499,10,49,mazui,まずい,bad-tasting / bad,MA-ZUI — BAD-TASTING. → mazui.
500,10,50,onaka,お腹,stomach / belly,ON-A-KA — STOMACH. → onaka.
