block,wordIndex,romaji,jp,audio,english,mnemonic,spokenRank
2,20,gakkou,学校,がっこう,school,“GACK! Go to SCHOOL.” → gakkou.,282
2,21,toire,トイレ,といれ,toilet,TOI-RE sounds close to TOILET. → toire.,1708
2,22,densha,電車,でんしゃ,train,DEN’s riding the TRAIN. → densha.,512
2,23,kuruma,車,くるま,car,The CREW are in my CAR. → kuruma.,193
2,24,mizu,水,みず,water,MIZZY always carries WATER. → mizu.,379
2,25,gohan,ご飯,ごはん,meal / rice,"“GO, HON — the MEAL is ready.” → gohan.",1544
2,26,niku,肉,にく,meat,NICK eats MEAT. → niku.,1339
2,27,sakana,魚,さかな,fish,A SACK full of tuna: FISH. → sakana.,652
2,28,yasai,野菜,やさい,vegetables,"“YES, I eat VEGETABLES.” → yasai.",
2,29,kudamono,果物,くだもの,fruit,“COULD A MONkey eat all that FRUIT?” → kudamono.,2067
2,30,koohii,コーヒー,こーひー,coffee,KO-OH-HEE sounds like COFFEE — it’s a loanword.,540
2,31,ocha,お茶,おちゃ,tea,"“OH, CHA!” CHA is TEA. → ocha.",1088
2,32,nani,何,なに,what,"The NANNY asks, “WHAT?” → nani.",12
2,33,dare,誰,だれ,who,“DARE I ask WHO?” → dare.,66
2,34,itsu,いつ,いつ,when,“IT’S… WHEN?” → itsu.,71
2,35,doushite,どうして,どうして,why,“DOES SHE… WHY?” → doushite.,64
2,36,dou,どう,どう,how,“DO… HOW do I do it?” → dou.,55
2,37,ikura,いくら,いくら,how much,“EEK! Really?” at the price: HOW MUCH? → ikura.,55
2,38,hai,はい,はい,yes,Say “HI!” and YES at the same time. → hai.,74
2,39,iie,いいえ,いいえ,no,“EEE-EH… NO.” → iie.,26
2,40,arigatou,ありがとう,ありがとう,thank you,ARI GOT you a gift — say THANK YOU. → arigatou.,82
2,41,sumimasen,すみません,すみません,excuse me / sorry,"“SUE, ME? I said EXCUSE ME!” → sumimasen.",114
2,42,gomen,ごめん,ごめん,sorry (casual),"“GO, MEN — SORRY!” → gomen.",114
2,43,daijoubu,大丈夫,だいじょうぶ,okay / all right,"“DIE, JOE? Boo!” No — he’s OKAY. → daijoubu.",29
2,44,chotto,ちょっと,ちょっと,a little,A tiny SHOT-O: just A LITTLE. → chotto.,97
2,45,motto,もっと,もっと,more,Your MOTTO is “MORE!” → motto.,107
2,46,hontou,本当,ほんとう,really / true,"“HON, TRUE?” REALLY? → hontou.",90
2,47,tabun,多分,たぶん,probably / maybe,“That BUN? PROBABLY.” → tabun.,133
2,48,onegai,お願い,おねがい,please / request,ONE GUY keeps saying PLEASE. → onegai.,117
2,49,mata,また,また,again / also,Put the MAT down AGAIN (not mou/already). → mata.,151
3,0,mo,も,も,too / also,"""ME TOO!"" — add も after your name. → mo.",101
3,1,kesshite,決して,けっして,never,"""KETCHUP? NEVER on sushi!"" → kesshite.",102
3,2,soba,そば,そば,by / beside,Stand BY the SOBA shop door. → soba.,103
3,3,hito,人,ひと,person,"""HE told"" that PERSON. → hito.",104
3,4,owaru,終わる,おわる,end / finish,OWARU — END / finish → owaru.,288
3,5,ai,愛,あい,love,"""I"" LOVE you — AI (love). → ai.",106
3,6,sarani,さらに,さらに,more / furthermore,"""SIR, ANOTHER one?"" MORE, please. → sarani.",107
3,7,mitsukeru,見つける,みつける,find,MEET SUKI and you will FIND her. → mitsukeru.,108
3,8,shigoto,仕事,しごと,work / job,SHE GOes TO WORK. → shigoto.,109
3,9,totemo,とても,とても,very,"""TOTALLY!"" That is VERY true. → totemo.",110
3,10,saru,去る,さる,leave / go away,The monkey (saru) has to LEAVE. → saru.,22
3,11,kesu,消す,けす,erase / turn off,KESU — ERASE / turn off → kesu.,218
3,12,san,さん,さん,Mr. / Ms. (honorific),SUN rises for MR. Tanaka — add さん. → san.,113
3,13,sumanai,すまない,すまない,sorry,"""SO MAHNAI"" — I am SORRY. → sumanai.",114
3,14,tamesu,試す,ためす,try,TAME this — TRY it first. → tamesu.,115
3,15,hi,日,ひ,day,The sun (hi) marks each DAY. → hi.,116
3,16,douzo,どうぞ,どうぞ,please (offering),"""DOUGH, ZO!"" PLEASE, help yourself. → douzo.",117
3,17,mochiron,もちろん,もちろん,of course,MOCHI? Of COURSE! → mochiron.,10
3,18,doredemo,どれでも,どれでも,any (whichever),DORE DEMO — ANY (whichever) → doredemo.,119
3,19,dake,だけ,だけ,only,DAKE keeps ONLY one cookie. → dake.,120
3,20,matsu,待つ,まつ,wait,MATT waits. → matsu.,121
3,21,kara,から,から,because / from,KARA — BECAUSE / from → kara.,70
3,22,ni,二,に,two,Count to TWO: に. → ni.,123
3,23,beki,べき,べき,should,BACKY — you SHOULD do it. → beki.,124
3,24,tasukeru,助ける,たすける,help,TASK? I will HELP you. → tasukeru.,125
3,25,desae,でさえ,でさえ,even,DAY SAY EH — EVEN I can do it. → desae.,126
3,26,kikoeru,聞こえる,きこえる,hear / can hear,KEY GOES clear — you can HEAR it. → kikoeru.,28
3,27,kanjiru,感じる,かんじる,feel,CAN YOU FEEL it? → kanjiru.,128
3,28,takusan,たくさん,たくさん,much / many,TUCK SUN away — so MUCH stuff. → takusan.,129
3,29,okoru,起こる,おこる,happen,"OH, COR! What will HAPPEN? → okoru.",130
3,30,sama,様,さま,sir / lord (polite),SAMA bows to SIR. → sama.,131
3,31,jinsei,人生,じんせい,life,JIN (person) + SEI (generation) = LIFE. → jinsei.,132
3,32,kamoshirenai,かもしれない,かもしれない,might,CAMO? She RENAI — it MIGHT be hidden. → kamoshirenai.,210
3,33,kami,神,かみ,god,CAMI sees GOD in the shrine. → kami.,134
3,34,nandemo,何でも,なんでも,anything,NANI DEMO — ANYTHING goes. → nandemo.,135
3,35,korera,これら,これら,these,CORE ERA — THESE things here. → korera.,136
3,36,yoru,夜,よる,night,"""YOU are up at NIGHT."" → yoru.",137
3,37,tsuzukeru,続ける,つづける,keep / continue,TWO ZOO KEEPers CONTINUE working. → tsuzukeru.,138
3,38,atarashii,新しい,あたらしい,new,"At a RUSH, she buys a NEW one. → atarashii.",139
3,39,nanimo,何も,なにも,nothing,NANI MO — there is NOTHING. → nanimo.,140
3,40,oku,置く,おく,put,"""OK, PUT it on the table."" → oku.",141
3,41,toshi,年,とし,year,TOSH counts another YEAR. → toshi.,142
3,42,hairu,入る,はいる,enter / go into,HIGH! You are going INTO the room. → hairu.,22
3,43,tazuneru,尋ねる,たずねる,ask,TAZ NEAR you to ASK. → tazuneru.,144
3,44,saisho,最初,さいしょ,first,"SIGH, SHOW me the FIRST one. → saisho.",145
3,45,korosu,殺す,ころす,kill,CROW SUE — dark word for KILL. → korosu.,146
3,46,hoka,他,ほか,other,HOOK A different OTHER one. → hoka.,147
3,47,tomeru,止める,とめる,stop,"TOM, MERcy — STOP the car. → tomeru.",148
3,48,sugoi,すごい,すごい,great / amazing,SO GO! That is GREAT! → sugoi.,149
3,49,mae,前,まえ,before / in front,MAY I go BEFORE you? → mae.,13
4,0,mata,また,また,again / also,"""MAH, TA?"" — AGAIN? → mata.",151
4,1,mada,まだ,まだ,still / not yet,MADA is STILL not done. → mada.,27
4,2,uchi,うち,うち,home,"""OUCH, I'm HOME."" → uchi.",153
4,3,ko,子,こ,kid,KOala KID. → ko.,154
4,4,onnanoko,女の子,おんなのこ,girl,ONNA NO KO — that GIRL. → onnanoko.,155
4,5,otokonoko,男の子,おとこのこ,boy,OTOKO NO KO — that BOY. → otokonoko.,156
4,6,kuso,くそ,くそ,fuck / shit,KUSO — FUCK / shit → kuso.,157
4,7,sorera,それら,それら,those,"SORE, RA — THOSE over there. → sorera.",158
4,8,yori,より,より,than,YOGURT is better THAN milk — より. → yori.,159
4,9,atari,あたり,あたり,around,ATARI — AROUND here. → atari.,160
4,10,saigo,最後,さいご,last,"SIGH, GO — the LAST one. → saigo.",161
4,11,hanareru,離れる,はなれる,leave / separate,Leave / SEPARATE → hanareru.,111
4,12,tomodachi,友達,ともだち,friend,TOMO is my FRIEND. → tomodachi.,163
4,13,ee,えー,えー,uh,"""EH?"" — UH, let me think. → ee.",164
4,14,imamade,今まで,いままで,until now / so far,IMA MADE — until NOW / so FAR → imamade.,36
4,15,warui,悪い,わるい,bad,WARUI — that is BAD. → warui.,166
4,16,shinakya,しなきゃ,しなきゃ,must / have to,SHE NAH KYA — you MUST do it. → shinakya.,14
4,17,au,会う,あう,meet,"""AH, U MEET!"" → au.",168
4,18,ookii,大きい,おおきい,big,OH KEY — so BIG. → ookii.,169
4,19,ato,あと,あと,after,"""AH, TOO"" — AFTER that. → ato.",170
4,20,nagai,長い,ながい,long,"NAH, GAI — so LONG. → nagai.",171
4,21,basho,場所,ばしょ,place,BA SHOW me the PLACE. → basho.,172
4,22,shinjiru,信じる,しんじる,believe,"SHIN, JEER? I BELIEVE you. → shinjiru.",173
4,23,karera,彼ら,かれら,they / them,THEY / THEM → karera.,38
4,24,itsumo,いつも,いつも,always,EAT SO MO — ALWAYS. → itsumo.,
4,25,zenbu,全部,ぜんぶ,everything,ZEN BU — EVERYTHING. → zenbu.,176
4,26,aitai,会いたい,あいたい,want to meet,Want to MEET → aitai.,46
4,27,fun,分,ふん,minute,One FUN MINUTE on the clock. → fun.,178
4,28,iine,いいね,いいね,nice,EE NE — NICE! → iine.,179
4,29,hajimeru,始める,はじめる,start,"HA, JIMMY — START! → hajimeru.",180
4,30,namae,名前,なまえ,name,"""NAME, eh?"" → namae.",181
4,31,okane,お金,おかね,money,"OKAY, NE? Need MONEY. → okane.",182
4,32,ugoku,動く,うごく,move,"YOU GO, KU — MOVE! → ugoku.",183
4,33,onna,女,おんな,woman,"""Oh, Nanna!"" — a WOMAN. → onna.",184
4,34,ippai,いっぱい,いっぱい,a lot / full,EAT PIE — a LOT. → ippai.,185
4,35,kiku,聞く,きく,listen / ask,KEY COOL — LISTEN up. → kiku.,144
4,36,todomaru,留まる,とどまる,stay,"TO DO, MARU — STAY put. → todomaru.",187
4,37,hashiru,走る,はしる,run,"HA, SHE RUNS. → hashiru.",188
4,38,yasashii,優しい,やさしい,kind,"YAS, A SHE — so KIND. → yasashii.",189
4,39,furui,古い,ふるい,old,FUR UI — OLD coat. → furui.,190
4,40,miseru,見せる,みせる,show,"ME, SEE RU — SHOW me. → miseru.",191
4,41,heiki,平気,へいき,fine / okay,"HEY, KEY — I'm FINE. → heiki.",73
4,42,kuruma,車,くるま,car,KURU MA — the CAR. → kuruma.,193
4,43,asobu,遊ぶ,あそぶ,play,"AH, SO BOO — let's PLAY! → asobu.",194
4,44,yaa,やあ,やあ,hello / hi,YAA — casual HELLO! → yaa.,195
4,45,mottekuru,持ってくる,もってくる,bring,"MO, TAKE, KURU — BRING it here. → mottekuru.",196
4,46,oboeru,覚える,おぼえる,remember,"OH, BO EH RU — REMEMBER this. → oboeru.",197
4,47,sumu,住む,すむ,live (reside),SOOM — I LIVE here. → sumu.,198
4,48,otousan,お父さん,おとうさん,dad / father,OTO-SAN — FATHER / dad. → otousan.,199
4,49,motsu,持つ,もつ,hold,MO TSU — HOLD it tight. → motsu.,200
5,0,yaa,やあ,やあ,hello / hi,"""YAA!"" — casual HI when you spot a friend. → yaa.",195
5,1,tootte,通って,とおって,through,TOO LATE — went THROUGH the tunnel. → tootte.,202
5,2,mai,毎,まい,every,MY niche — EVERY day. → mai (毎日 mai-nichi).,203
5,3,wakaru,分かる,わかる,understand,"When you don't understand: ""WAKA? nah…"" → wakaru.",204
5,4,san,三,さん,three,Count to THREE: san. → san.,205
5,5,akachan,赤ちゃん,あかちゃん,baby,Aka-CHAN — a BABY. → akachan.,206
5,6,ie,家,いえ,house / home,IE browser at the HOUSE. → ie.,153
5,7,te,手,て,hand,TAY — raise your HAND. → te.,208
5,8,machigai,間違い,まちがい,wrong,MACHI-GAI — that's WRONG. → machigai.,209
5,9,kamoshirenai,かもしれない,かもしれない,might,CAMO? She RENAI — it MIGHT be hidden. → kamoshirenai.,210
5,10,temoii,〜てもいい,〜てもいい,may (permission),TE MO II — you MAY do it. → temoii.,211
5,11,kokoro,心,こころ,mind / heart,COCO-RO — your MIND and heart. → kokoro.,212
5,12,otousan,お父さん,おとうさん,dad / father,OTO-SAN — DAD. → otousan.,199
5,13,mouhitotsu,もう一つ,もうひとつ,another,MOU HITOTSU — ANOTHER one. → mouhitotsu.,214
5,14,okee,オーケー,オーケー,OK,OKEE — OK → okee.,215
5,15,nakya,〜なきゃ,〜なきゃ,have to / gotta,~NAKYA — HAVE TO / gotta → nakya.,14
5,16,shitai,〜したい,〜したい,want to do,~SHITAI — WANT TO DO → shitai.,46
5,17,magaru,曲がる,まがる,turn,MAGA-rine truck has to TURN. → magaru.,218
5,18,juubun,十分,じゅうぶん,enough,JU-BUN — ENOUGH bread. → juubun.,219
5,19,makeru,負ける,まける,lose,MAKE-ru — you LOSE the game. → makeru.,220
5,20,okaasan,お母さん,おかあさん,mother,OKA-SAN — MOTHER. → okaasan.,221
5,21,jibunno,自分の,じぶんの,own,JI-BUN NO — your OWN thing. → jibunno.,222
5,22,mochiron,もちろん,もちろん,of course,MOCHI? Of COURSE! → mochiron.,10
5,23,kinisuru,気にする,きにする,care,KEY NEEDS SURE — I CARE. → kinisuru.,224
5,24,kuso,くそ,くそ,fuck / shit,KUSO — FUCK / shit → kuso.,157
5,25,atama,頭,あたま,head,A TAMA — on your HEAD. → atama.,226
5,26,dore,どれ,どれ,which,DO RE — WHICH one? → dore.,227
5,27,ateru,当てる,あてる,guess,A-TELL — take a GUESS. → ateru.,228
5,28,jigoku,地獄,じごく,hell,JI-GOKU — HELL. → jigoku.,229
5,29,heya,部屋,へや,room,"HEY, YA in the ROOM. → heya.",230
5,30,miru,見る,みる,see / watch,ME-RU — WATCH this. → miru.,48
5,31,sekai,世界,せかい,world,SAY-KAI — the WORLD. → sekai.,232
5,32,jibunjishin,自分自身,じぶんじしん,yourself,JI-BUN JI-SHIN — YOURSELF. → jibunjishin.,233
5,33,kowasu,壊す,こわす,break,KO-WASU — BREAK it. → kowasu.,234
5,34,tsugi,次,つぎ,next,TSU-GI — NEXT please. → tsugi.,235
5,35,shinda,死んだ,しんだ,dead,SHIN-DA — DEAD. → shinda.,236
5,36,hoka,他,ほか,other,HOOK A different OTHER one. → hoka.,147
5,37,suwaru,座る,すわる,sit,SUE-WARU — SIT down. → suwaru.,238
5,38,dareka,誰か,だれか,someone,DARE-KA — SOMEONE there? → dareka.,239
5,39,hontou,本当,ほんとう,really / true,HON-TOU — REAL talk. → hontou.,90
5,40,shigoto,仕事,しごと,work / job,SHE GOes TO WORK. → shigoto.,109
5,41,asa,朝,あさ,morning,AS A morning person… → asa.,
5,42,e,え？,え,huh,EH? — HUH? → e.,243
5,43,mama,ママ,ママ,mom,MAMA — MOM. → mama.,244
5,44,kyou,今日,きょう,today,"""'Kay, YO — do it TODAY."" → kyou.",245
5,45,musuko,息子,むすこ,son,MUSU-KO — SON. → musuko.,246
5,46,wasureru,忘れる,わすれる,forget,WASU-RERU — FORGET it. → wasureru.,247
5,47,nomu,飲む,のむ,drink,NOM — take a DRINK. → nomu.,248
5,48,onaji,同じ,おなじ,same,O-NA-JI — the SAME. → onaji.,249
5,49,konya,今夜,こんや,tonight,KON-YA — TONIGHT. → konya.,250
6,0,yaru,やる,やる,do / give (casual),YA-RU — DO. → yaru.,11
6,1,omou,思う,おもう,think / feel,O-MOU — THINK. → omou.,40
6,2,aru,ある,ある,exist / have (things),A-RU — EXIST. → aru.,14
6,3,iru,いる,いる,exist / be (people/animals),I-RU — EXIST. → iru.,3
6,4,deru,出る,でる,go out / leave / come out,DE-RU — GO OUT. → deru.,22
6,5,ireru,入れる,いれる,put in / let in,I-RE-RU — PUT IN. → ireru.,62
6,6,dasu,出す,だす,take out / put out,DA-SU — TAKE OUT. → dasu.,60
6,7,kureru,くれる,くれる,give (to me/us),KU-RE-RU — GIVE (TO ME. → kureru.,15
6,8,naru,なる,なる,become,NA-RU — BECOME. → naru.,494
6,9,yameru,やめる,やめる,stop / quit,YA-ME-RU — STOP. → yameru.,148
6,10,hajimaru,始まる,はじまる,start / begin,HA-JI-MA-RU — START. → hajimaru.,180
6,11,tsuku,着く,つく,arrive,TSU-KU — ARRIVE. → tsuku.,915
6,12,noru,乗る,のる,ride / get on,N-O-RU — RIDE. → noru.,17
6,13,oriru,降りる,おりる,get off / go down,O-RI-RU — GET OFF. → oriru.,17
6,14,akeru,開ける,あける,open,"""A-KEY"" — OPEN the door. → akeru.",251
6,15,shimeru,閉める,しめる,close,SHI-ME-RU — CLOSE the door. → shimeru.,401
6,16,atsumeru,集める,あつめる,collect / gather,A-TSU-ME-RU — COLLECT. → atsumeru.,1631
6,17,atsumaru,集まる,あつまる,gather / meet up,A-TSU-MA-RU — GATHER. → atsumaru.,168
6,18,kaesu,返す,かえす,return / give back,KAE-SU — RETURN. → kaesu.,87
6,19,kawaru,変わる,かわる,change,KA-WA-RU — CHANGE. → kawaru.,377
6,20,kaeru,変える,かえる,change something,“CARE to RETURN home?” → kaeru.,377
6,21,naosu,直す,なおす,fix / correct,N-AO-SU — FIX. → naosu.,580
6,22,naoru,直る,なおる,be fixed / get better,N-AO-RU — BE FIXED. → naoru.,3
6,23,wasureru,忘れる,わすれる,forget,WASU-RERU — FORGET it. → wasureru.,247
6,24,oboeru,覚える,おぼえる,remember / learn,"OH, BO EH RU — REMEMBER this. → oboeru.",197
6,25,oshieru,教える,おしえる,tell / teach,O-SHIE-RU — TELL. → oshieru.,61
6,26,narau,習う,ならう,learn (from someone),N-A-RAU — LEARN (FROM SOMEONE). → narau.,70
6,27,shiru,知る,しる,find out / come to know,SHI-RU — FIND OUT. → shiru.,34
6,28,kangaeru,考える,かんがえる,think / consider,KANGAERU — THINK → kangaeru.,40
6,29,kimeru,決める,きめる,decide,KI-ME-RU — DECIDE. → kimeru.,528
6,30,kimaru,決まる,きまる,be decided,KI-MA-RU — BE DECIDED. → kimaru.,3
6,31,erabu,選ぶ,えらぶ,choose,ERABU — CHOOSE / pick → erabu.,747
6,32,sagasu,探す,さがす,look for,SA-GA-SU — LOOK FOR. → sagasu.,59
6,33,mitsukaru,見つかる,みつかる,be found / find it,MI-TSU-KA-RU — BE FOUND. → mitsukaru.,3
6,34,miseru,見せる,みせる,show,"ME, SEE RU — SHOW me. → miseru.",191
6,35,tsutaeru,伝える,つたえる,tell / convey,TSU-TAE-RU — TELL. → tsutaeru.,61
6,36,yobu,呼ぶ,よぶ,call / invite,YO-BU — CALL. → yobu.,99
6,37,yomeru,読める,よめる,can read,YO-ME-RU — CAN READ. → yomeru.,28
6,38,warau,笑う,わらう,laugh,WA-RAU — LAUGH. → warau.,529
6,39,naku,泣く,なく,cry,N-A-KU — CRY. → naku.,558
6,40,okoru,怒る,おこる,get angry,"OH, COR! What will HAPPEN? → okoru.",17
6,41,odoroku,驚く,おどろく,be surprised,O-DO-RO-KU — BE SURPRISED. → odoroku.,3
6,42,komaru,困る,こまる,be in trouble / not know what to do,KOMARU — be in TROUBLE → komaru.,3
6,43,ganbaru,頑張る,がんばる,try hard / do one's best,GAN-BA-RU — TRY HARD. → ganbaru.,11
6,44,tetsudau,手伝う,てつだう,help out,TE-TSU-DAU — HELP OUT. → tetsudau.,125
6,45,tanomu,頼む,たのむ,ask / request / order,TAN-O-MU — ASK. → tanomu.,144
6,46,kotaeru,答える,こたえる,answer,KO-TAE-RU — ANSWER. → kotaeru.,384
6,47,shitsumon suru,質問する,しつもんする,ask a question,SHI-TSU-MON SU-RU — ASK A QUESTION. → shitsumon suru.,144
6,48,renraku suru,連絡する,れんらくする,contact,REN-RA-KU SU-RU — CONTACT. → renraku suru.,857
6,49,denwa suru,電話する,でんわする,call / phone,DEN-WA SU-RU — CALL. → denwa suru.,99
7,0,hanashi,話,はなし,story / talk,HA-NA-SHI — STORY. → hanashi.,95
7,1,koto,こと,こと,thing / matter (abstract),KO-TO — THING. → koto.,79
7,2,tokoro,ところ,ところ,place / point / part,TO-KO-RO — PLACE. → tokoro.,172
7,3,toki,時,とき,time / when,TO-KI — TIME. → toki.,71
7,4,hito,人,ひと,person,"""HE told"" that PERSON. → hito.",104
7,5,minna,みんな,みんな,everyone,MIN-NA — EVERYBODY. → minna.,376
7,6,dareka,誰か,だれか,someone,DARE-KA — SOMEONE. → dareka.,239
7,7,nanika,何か,なにか,something,N-AN-I-KA — SOMETHING. → nanika.,91
7,8,dore,どれ,どれ,which one,DO RE — WHICH one? → dore.,227
7,9,kore,これ,これ,this,KO-RE — THIS. → kore.,18
7,10,sore,それ,それ,that,SO-RE — THAT. → sore.,8
7,11,are,あれ,あれ,that over there,A-RE — THAT OVER THERE. → are.,8
7,12,kono,この,この,this + noun,KON-O — THIS + NOUN. → kono.,18
7,13,sono,その,その,that + noun,SONO — THAT / its → sono.,8
7,14,ano,あの,あの,that + noun / um,AN-O — THAT + NOUN. → ano.,8
7,15,donna,どんな,どんな,what kind of,DON-N-A — WHAT KIND OF. → donna.,12
7,16,konna,こんな,こんな,like this / this kind of,KON-N-A — LIKE THIS. → konna.,18
7,17,sonna,そんな,そんな,like that / that kind of,SON-NA — SUCH a thing. → sonna.,8
7,18,anna,あんな,あんな,like that over there,AN-N-A — LIKE THAT OVER THERE. → anna.,37
7,19,docchi,どっち,どっち,which / which way (casual),DO-CCHI — WHICH. → docchi.,227
7,20,kochira,こちら,こちら,this way / this person (polite),KO-CHI-RA — THIS WAY. → kochira.,18
7,21,sochira,そちら,そちら,that way / you (polite),SO-CHI-RA — THAT WAY. → sochira.,1
7,22,achira,あちら,あちら,over there (polite),A-CHI-RA — OVER THERE (POLITE). → achira.,105
7,23,doko ka,どこか,どこか,somewhere,DO-KO KA — SOMEWHERE. → doko ka.,644
